filename,fps,manual_cuts,cuts_hist,cuts_bic,threshold_hist,threshold_bic,accuracy_hist,accuracy_bic,keyframes_hist,keyframes_bic
anime1_h264.mp4,29.97002997002997,"[34, 96, 131, 186, 214, 244, 276, 327, 405, 441, 490, 539, 586, 646, 686, 723, 768, 783, 815, 886, 980, 1029, 1081, 1129, 1184, 1238, 1275, 1313, 1364, 1414, 1460, 1552, 1586, 1622, 1683, 1723, 1782, 1827, 1869, 1957, 2027]","[105, 225, 285, 330, 825, 900, 945, 1275, 1560, 1590, 1635, 1830, 1875, 1965, 2100]","[105, 225, 285, 660, 735, 825, 900, 945, 1320, 1560, 1635, 1695, 1875, 1965, 2100]",39.59331084833215,66.80124173600552,0.36585365853658536,0.43902439024390244,"{0: 52, 1: 165, 2: 255, 3: 307, 4: 577, 5: 862, 6: 922, 7: 1110, 8: 1417, 9: 1575, 10: 1612, 11: 1732, 12: 1852, 13: 1920, 14: 2032, 15: 2173}","{0: 52, 1: 165, 2: 255, 3: 472, 4: 697, 5: 780, 6: 862, 7: 922, 8: 1132, 9: 1440, 10: 1597, 11: 1665, 12: 1785, 13: 1920, 14: 2032, 15: 2173}"
anime2_h264.mp4,30.0,"[133, 243, 354, 621, 774, 840, 909, 967, 1011, 1131, 1206, 1235, 1298, 1366, 1429, 1509, 1560, 1623]","[60, 360, 780, 810, 825, 840, 945, 975, 1020, 1140, 1215, 1305, 1440, 1500, 1515, 1560, 1635]","[60, 360, 825, 945, 975, 1020, 1140, 1215, 1305, 1440, 1500, 1515, 1560, 1635]",33.03548317825603,56.03334713411911,0.7222222222222222,0.6666666666666666,"{0: 30, 1: 210, 2: 570, 3: 795, 4: 817, 5: 832, 6: 892, 7: 960, 8: 997, 9: 1080, 10: 1177, 11: 1260, 12: 1372, 13: 1470, 14: 1507, 15: 1537, 16: 1597, 17: 1695}","{0: 30, 1: 210, 2: 592, 3: 885, 4: 960, 5: 997, 6: 1080, 7: 1177, 8: 1260, 9: 1372, 10: 1470, 11: 1507, 12: 1537, 13: 1597, 14: 1695}"
anime3_h264.mp4,23.976023976023978,"[42, 94, 165, 238, 314, 381, 416, 507, 545, 630, 671, 700, 721, 739, 821, 866, 936, 982, 1053, 1089, 1123, 1139, 1172, 1212, 1236, 1322, 1339, 1380, 1410, 1473, 1512]","[12, 96, 516, 672, 876, 936, 948, 984, 1344, 1356, 1380, 1416, 1476]","[48, 864, 876, 1464, 1476]",50.1095198615005,82.75029228534595,0.3548387096774194,0.0967741935483871,"{0: 6, 1: 54, 2: 306, 3: 594, 4: 774, 5: 906, 6: 942, 7: 966, 8: 1164, 9: 1350, 10: 1368, 11: 1398, 12: 1446, 13: 1493}","{0: 24, 1: 456, 2: 870, 3: 1170, 4: 1470, 5: 1493}"
movie1_h264.mp4,23.976023976023978,"[46, 115, 247, 348, 393, 441, 480, 503, 527, 589, 615, 647, 689, 707, 732, 757, 787, 809, 828, 900, 942, 956, 975, 999, 1019, 1066, 1085, 1118, 1150, 1169, 1200, 1236, 1286, 1364, 1400, 1445, 1460, 1500, 1525, 1546, 1572, 1594, 1613, 1634, 1652, 1692, 1788, 1971, 2026, 2056, 2073, 2090, 2115, 2159, 2192, 2234, 2277, 2299, 2327, 2349, 2377, 2444, 2500, 2524, 2548, 2600, 2630, 2647, 2668, 2688, 2709, 2740, 2772, 2792, 2831]","[396, 444, 528, 600, 648, 696, 900, 948, 960, 1236, 1296, 1368, 1596, 1644, 1692, 2076, 2100, 2328, 2544, 2568, 2832, 2868]","[396, 444, 528, 600, 648, 900, 948, 960, 1068, 1236, 1296, 1368, 1644, 1692, 2100, 2328, 2544, 2796, 2832]",35.03235895038682,64.58411849776266,0.4,0.36,"{0: 198, 1: 420, 2: 486, 3: 564, 4: 624, 5: 672, 6: 798, 7: 924, 8: 954, 9: 1098, 10: 1266, 11: 1332, 12: 1482, 13: 1620, 14: 1668, 15: 1884, 16: 2088, 17: 2214, 18: 2436, 19: 2556, 20: 2700, 21: 2850, 22: 2872}","{0: 198, 1: 420, 2: 486, 3: 564, 4: 624, 5: 774, 6: 924, 7: 954, 8: 1014, 9: 1152, 10: 1266, 11: 1332, 12: 1506, 13: 1668, 14: 1896, 15: 2214, 16: 2436, 17: 2670, 18: 2814, 19: 2854}"
movie2_h264.mp4,30.0,"[164, 175, 253, 319, 363, 380, 419, 431, 471, 518, 537, 571, 608, 672, 849, 910]","[165, 180, 255, 375, 390, 405, 420, 540, 585, 615, 675, 690, 855, 915]","[165, 180, 255, 375, 390, 420, 435, 525, 540, 585, 615, 675, 690, 855, 915]",25.296784362757514,48.31721488898397,0.875,0.875,"{0: 82, 1: 172, 2: 217, 3: 315, 4: 382, 5: 397, 6: 412, 7: 480, 8: 562, 9: 600, 10: 645, 11: 682, 12: 772, 13: 885, 14: 1267}","{0: 82, 1: 172, 2: 217, 3: 315, 4: 382, 5: 405, 6: 427, 7: 480, 8: 532, 9: 562, 10: 600, 11: 645, 12: 682, 13: 772, 14: 885, 15: 1267}"
movie3_h264.mp4,29.97002997002997,"[260, 343, 466, 505, 576, 621, 697, 743, 778, 808, 829, 866, 965, 1006, 1066, 1105, 1156, 1172, 1253, 1278, 1293, 1390, 1418, 1501, 1596, 1615, 1667, 1722, 1773, 1792, 1868, 1889, 1907, 1927, 1949, 1983, 2014, 2030, 2056, 2071, 2094, 2131, 2159, 2177, 2194, 2219, 2239, 2256, 2279, 2319, 2376, 2409, 2439, 2466, 2491, 2513, 2543, 2566, 2595, 2617, 2647, 2669, 2699, 2721, 2752, 2796, 2836, 2854, 2910, 2942, 3018, 3087]","[15, 105, 630, 810, 975, 1005, 1020, 1110, 1725, 1740, 1755, 1785, 1800, 1815, 1890, 1935, 1965, 2085, 2385, 2625, 2850]","[15, 630, 810, 1005, 1020, 1110, 1725, 1740, 1755, 1800, 1815, 1845, 2160, 2625, 2850]",32.24850391665729,60.911471002466136,0.3472222222222222,0.2361111111111111,"{0: 7, 1: 60, 2: 367, 3: 720, 4: 892, 5: 990, 6: 1012, 7: 1065, 8: 1417, 9: 1732, 10: 1747, 11: 1770, 12: 1792, 13: 1807, 14: 1852, 15: 1912, 16: 1950, 17: 2025, 18: 2235, 19: 2505, 20: 2737, 21: 2968}","{0: 7, 1: 322, 2: 720, 3: 907, 4: 1012, 5: 1065, 6: 1417, 7: 1732, 8: 1747, 9: 1777, 10: 1807, 11: 1830, 12: 2002, 13: 2392, 14: 2737, 15: 2968}"
music1_h264.mp4,25.0,"[169, 773, 798, 860, 938, 1013, 1063, 1210, 1267, 1324, 1416, 1438, 1466, 1518, 1579, 1625, 1689, 1717, 1738, 1763, 1847, 1884, 1918, 1956, 2015, 2054, 2101, 2200, 2250, 2288, 2346, 2414, 2446, 2473, 2549, 2581, 2610, 2640, 2684, 2706, 2743, 2755, 2787, 2825, 2882, 2914, 2958]","[1368, 1392, 1476, 1488, 1536, 1584, 1632, 1644, 1668, 1692, 1716, 1764, 1776, 1800, 1836, 1848, 1872, 1908, 1932, 1944, 1956, 1968, 2004, 2028, 2052, 2532, 2568, 2592, 2688, 2736, 2772, 2856, 2904]","[972, 1116, 1368, 1392, 1476, 1632, 1644, 1668, 1692, 1716, 1764, 1776, 1800, 1836, 1848, 1872, 1908, 1932, 1956, 1968, 2004, 2052, 2532, 2568, 2592, 2628, 2652, 2736, 2772, 2844, 2856, 2904]",24.604933596609563,54.18508581051513,0.5319148936170213,0.48936170212765956,"{0: 684, 1: 1380, 2: 1434, 3: 1482, 4: 1512, 5: 1560, 6: 1608, 7: 1638, 8: 1656, 9: 1680, 10: 1704, 11: 1740, 12: 1770, 13: 1788, 14: 1818, 15: 1842, 16: 1860, 17: 1890, 18: 1920, 19: 1938, 20: 1950, 21: 1962, 22: 1986, 23: 2016, 24: 2040, 25: 2292, 26: 2550, 27: 2580, 28: 2640, 29: 2712, 30: 2754, 31: 2814, 32: 2880, 33: 2951}","{0: 486, 1: 1044, 2: 1242, 3: 1380, 4: 1434, 5: 1554, 6: 1638, 7: 1656, 8: 1680, 9: 1704, 10: 1740, 11: 1770, 12: 1788, 13: 1818, 14: 1842, 15: 1860, 16: 1890, 17: 1920, 18: 1944, 19: 1962, 20: 1986, 21: 2028, 22: 2292, 23: 2550, 24: 2580, 25: 2610, 26: 2640, 27: 2694, 28: 2754, 29: 2808, 30: 2850, 31: 2880, 32: 2951}"
music2_h264.mp4,25.0,"[93, 130, 181, 256, 299, 347, 402, 450, 523, 568, 653, 698, 778, 822, 866, 951, 1083, 1120, 1213, 1258, 1302, 1352, 1407, 1465, 1525, 1570, 1623, 1647, 1702, 1758, 1804, 1864, 1900, 2087, 2298, 2335, 2372, 2464, 2526, 2579, 2626, 2683, 2734, 2812, 2880, 2921, 2980]","[24, 36, 96, 168, 180, 300, 528, 1308, 1476, 1572, 1584, 1596, 1608, 1656, 1872, 2268, 2304, 2340, 2376, 2628]","[24, 36, 96, 168, 180, 300, 528, 1476, 1572, 1584, 1596, 1764, 2268, 2340, 2376, 2628, 2808, 2820, 2844, 2880]",33.67401585403215,58.350419797322026,0.2978723404255319,0.2553191489361702,"{0: 12, 1: 30, 2: 66, 3: 132, 4: 174, 5: 240, 6: 414, 7: 918, 8: 1392, 9: 1524, 10: 1578, 11: 1590, 12: 1602, 13: 1632, 14: 1764, 15: 2070, 16: 2286, 17: 2322, 18: 2358, 19: 2502, 20: 2813}","{0: 12, 1: 30, 2: 66, 3: 132, 4: 174, 5: 240, 6: 414, 7: 1002, 8: 1524, 9: 1578, 10: 1590, 11: 1680, 12: 2016, 13: 2304, 14: 2358, 15: 2502, 16: 2718, 17: 2814, 18: 2832, 19: 2862, 20: 2939}"
music3_h264.mp4,25.0,"[66, 246, 273, 364, 429, 454, 498, 574, 612, 772, 854, 957, 997, 1069, 1109, 1165, 1186, 1219, 1255, 1299, 1319, 1364, 1406, 1576, 1649, 1707, 1771, 1840, 1923, 1984, 2024, 2101, 2142, 2226, 2257, 2294, 2322, 2342, 2412, 2431, 2462, 2487, 2572, 2718, 2827, 2952, 3005, 3052, 3150]","[72, 372, 432, 456, 504, 576, 612, 864, 960, 1008, 1080, 1116, 1176, 1188, 1224, 1260, 1308, 1320, 1356, 1368, 1416, 1656, 1776, 1992, 2028, 2112, 2148, 2232, 2268, 2304, 2328, 2352, 2364, 2412, 2496, 2724, 2832, 2952, 3012, 3060]","[72, 372, 432, 456, 504, 576, 612, 864, 960, 1008, 1080, 1116, 1176, 1188, 1224, 1260, 1320, 1356, 1656, 1776, 1848, 1932, 1992, 2028, 2112, 2148, 2232, 2268, 2304, 2328, 2352, 2364, 2412, 2496, 2832, 2952, 3012, 3060]",28.37913509102362,49.71680621527216,0.7959183673469388,0.7959183673469388,"{0: 36, 1: 222, 2: 402, 3: 444, 4: 480, 5: 540, 6: 594, 7: 738, 8: 912, 9: 984, 10: 1044, 11: 1098, 12: 1146, 13: 1182, 14: 1206, 15: 1242, 16: 1284, 17: 1314, 18: 1338, 19: 1362, 20: 1392, 21: 1536, 22: 1716, 23: 1884, 24: 2010, 25: 2070, 26: 2130, 27: 2190, 28: 2250, 29: 2286, 30: 2316, 31: 2340, 32: 2358, 33: 2388, 34: 2454, 35: 2610, 36: 2778, 37: 2892, 38: 2982, 39: 3036, 40: 3104}","{0: 36, 1: 222, 2: 402, 3: 444, 4: 480, 5: 540, 6: 594, 7: 738, 8: 912, 9: 984, 10: 1044, 11: 1098, 12: 1146, 13: 1182, 14: 1206, 15: 1242, 16: 1290, 17: 1338, 18: 1506, 19: 1716, 20: 1812, 21: 1890, 22: 1962, 23: 2010, 24: 2070, 25: 2130, 26: 2190, 27: 2250, 28: 2286, 29: 2316, 30: 2340, 31: 2358, 32: 2388, 33: 2454, 34: 2664, 35: 2892, 36: 2982, 37: 3036, 38: 3104}"
